,A Room with a View.txt,A Doll's House.txt,A Christmas Carol in Prose Being a Ghost Story of Christmas.txt,A Modest Proposal.txt,A Short History of English Agriculture.txt,A Smaller History of Rome.txt
"""",0,0,0,0,1,0
"""'And",0,0,1,0,0,0
"""A",0,0,1,0,0,1
"""Agricultural",0,0,0,0,0,1
"""Ah!""",0,0,1,0,0,0
"""Alexander",0,0,0,0,0,1
"""All",0,0,1,0,0,0
"""Always",0,0,1,0,0,0
"""Am",0,0,1,0,0,0
"""An",0,0,1,0,0,0
"""And",0,0,1,0,0,1
"""Annals",0,0,0,0,0,1
"""Another",0,0,0,0,0,1
"""Are",0,0,1,0,0,0
"""As",0,0,1,0,0,0
"""Ask",0,0,1,0,0,0
"""At",0,0,1,0,0,1
"""Bad,""",0,0,1,0,0,0
"""Bah!""",0,0,1,0,0,0
"""Bear",0,0,1,0,0,0
"""Because",0,0,1,0,0,0
"""Because,""",0,0,1,0,0,0
"""Bed-curtains!""",0,0,1,0,0,0
"""Before",0,0,1,0,0,0
"""Belle,""",0,0,1,0,0,0
"""Bless",0,0,1,0,0,0
"""Bob""",0,0,1,0,0,0
"""Both",0,0,1,0,0,0
"""Bring",0,0,1,0,0,0
"""Bruttium,""",0,0,0,0,0,1
"""Business!""",0,0,1,0,0,0
"""But",0,0,1,0,0,0
"""Can",0,0,1,0,0,0
"""Carthage",0,0,0,0,0,1
"""Children",0,0,0,0,0,1
"""Christmas",0,0,1,0,0,0
"""Clear",0,0,1,0,0,0
"""Cold,",0,0,1,0,0,0
"""Come",0,0,1,0,0,0
"""Come,",0,0,1,0,0,0
"""Complete",0,0,0,0,0,1
"""Cornelio",0,0,0,0,0,1
"""Corvus,""",0,0,0,0,0,1
"""Couldn't",0,0,1,0,0,0
"""Crassus,",0,0,0,0,0,1
"""Dear,",0,0,1,0,0,0
"""Delenda",0,0,0,0,0,1
"""Dent",0,0,0,0,0,1
"""Dick",0,0,1,0,0,0
"""Ding,",0,0,1,0,0,0
"""Do",0,0,1,0,0,1
"""Don't",0,0,1,0,0,0
"""Down",0,0,0,0,0,1
"""Dreadful",0,0,1,0,0,0
"""EH?""",0,0,1,0,0,0
"""Even",0,0,1,0,0,0
"""Every",0,0,1,0,0,0
"""Everybody",0,0,1,0,0,0
"""Expect",0,0,1,0,0,0
"""Father",0,0,0,0,0,1
"""Forgive",0,0,1,0,0,0
"""Fred!""",0,0,1,0,0,0
"""Friends",0,0,0,0,0,1
"""Gallic",0,0,0,0,0,1
"""Get",0,0,1,0,0,0
"""Ghost",0,0,1,0,0,0
"""Give",0,0,0,0,0,1
"""Go",0,0,1,0,0,0
"""God",0,0,1,0,0,0
"""Good",0,0,1,0,0,0
"""Green",0,0,1,0,0,0
"""Guess!""",0,0,1,0,0,0
"""Ha,",0,0,1,0,0,0
"""Half-past!""",0,0,1,0,0,0
"""Hallo!""",0,0,1,0,0,0
"""Have",0,0,1,0,0,1
"""He",0,0,1,0,0,1
"""He's",0,0,1,0,0,0
"""Hear",0,0,1,0,0,0
"""Heaven",0,0,1,0,0,0
"""Here",0,0,1,0,0,0
"""Here's",0,0,1,0,0,0
"""Hide,",0,0,1,0,0,0
"""Hilli-ho!""",0,0,1,0,0,0
"""His",0,0,1,0,0,0
"""History",0,0,0,0,0,1
"""Home,",0,0,1,0,0,0
"""How",0,0,1,0,0,1
"""Humbug!""",0,0,1,0,0,0
"""Humbug.""",0,0,1,0,0,0
"""Hurrah!",0,0,1,0,0,0
"""I",0,0,1,0,1,1
"""I!""",0,0,1,0,0,0
"""I'll",0,0,1,0,0,0
"""I'm",0,0,1,0,0,0
"""I--I",0,0,1,0,0,0
"""If",0,0,1,0,0,1
"""In",0,0,1,0,0,1
"""Indeed,",0,0,1,0,0,0
"""Is",0,0,1,0,0,0
"""It",0,0,1,0,0,0
"""It's",0,0,1,0,0,0
"""Jacob,""",0,0,1,0,0,0
"""Keep",0,0,1,0,0,0
"""Knew",0,0,1,0,0,0
"""Know",0,0,1,0,0,0
"""Last",0,0,1,0,0,0
"""Laugh",0,0,0,0,0,1
"""Lead",0,0,1,0,0,0
"""Leave",0,0,1,0,0,0
"""Left",0,0,1,0,0,0
"""Let",0,0,1,0,0,1
"""Lingerer,""",0,0,0,0,0,1
"""Long",0,0,1,0,0,1
"""Look",0,0,1,0,0,0
"""Lord",0,0,1,0,0,1
"""Make",0,0,0,0,0,1
"""Man",0,0,1,0,0,0
"""Man!",0,0,0,0,0,1
"""Man,""",0,0,1,0,0,0
"""Mankind",0,0,1,0,0,0
"""Many",0,0,1,0,0,0
"""Mare",0,0,0,0,0,1
"""Marry!",0,0,0,0,0,1
"""Meditations,""",0,0,0,0,0,1
"""Men's",0,0,1,0,0,0
"""Mercy!""",0,0,1,0,0,0
"""Merry",0,0,1,0,0,0
"""More",0,0,1,0,0,0
"""Mother,""",0,0,0,0,0,1
"""Mr.",0,0,1,0,0,0
"""Much",0,0,1,0,0,0
"""Much!""--Marley's",0,0,1,0,0,0
"""My",0,0,1,0,0,0
"""Myself,""",0,0,0,0,0,1
"""Nay,",0,0,1,0,0,1
"""Needs",0,0,0,0,0,1
"""Nephew!""",0,0,1,0,0,0
"""Never,",0,0,1,0,0,0
"""Never,""",0,0,1,0,0,0
"""New",0,0,0,0,0,1
"""No",0,0,1,0,0,0
"""No,",0,0,1,0,0,0
"""No,""",0,0,1,0,0,0
"""No.",0,0,1,0,0,0
"""Not",0,0,1,0,0,0
"""Nothing",0,0,1,0,0,0
"""Nothing!""",0,0,1,0,0,0
"""Nothing,""",0,0,1,0,0,0
"""Nothing.",0,0,1,0,0,0
"""Now,",0,0,1,0,0,0
"""O",0,0,0,0,0,1
"""Often.""",0,0,1,0,0,0
"""Oh!",0,0,1,0,0,0
"""Oh,",0,0,1,0,0,0
"""Old",0,0,1,0,0,1
"""On",0,0,1,0,0,1
"""Once",0,0,0,0,0,1
"""One",0,0,1,0,0,0
"""Only",0,0,1,0,0,1
"""Or",0,0,1,0,0,0
"""Our",0,0,1,0,0,1
"""Past",0,0,1,0,0,0
"""Perhaps",0,0,0,0,0,1
"""Peter",0,0,1,0,0,0
"""Philippics""",0,0,0,0,0,1
"""Plenty",0,0,1,0,0,0
"""Pooh,",0,0,1,0,0,0
"""Poor",0,0,1,0,0,0
"""Provincia,""",0,0,0,0,0,1
"""Præfectus",0,0,0,0,0,1
"""Public",0,0,0,0,0,1
"""Putting",0,0,1,0,0,0
"""Pyrrhus.""",0,0,0,0,0,1
"""Quick!""",0,0,1,0,0,0
"""Raven.""",0,0,0,0,0,1
"""Remember",0,0,1,0,0,0
"""Remove",0,0,1,0,0,0
"""Rise!",0,0,1,0,0,0
"""Romulus",0,0,0,0,0,1
"""Sardi",0,0,0,0,0,1
"""Sate",0,0,0,0,0,1
"""Scrooge",0,0,1,0,0,0
"""Seasonable",0,0,1,0,0,0
"""Senatus",0,0,0,0,0,1
"""Seven",0,0,1,0,0,0
"""Shall",0,0,0,0,0,1
"""She",0,0,1,0,0,0
"""Since",0,0,1,0,0,0
"""Sir",0,0,1,0,0,0
"""Sit",0,0,1,0,0,0
"""Slander",0,0,1,0,0,0
"""Slow!""",0,0,1,0,0,0
"""Small!""",0,0,1,0,0,0
"""Smaller",0,0,0,0,0,1
"""So",0,0,1,0,0,1
"""Somebody",0,0,1,0,0,0
"""Something,",0,0,1,0,0,0
"""Spectre,""",0,0,1,0,0,0
"""Spirit!",0,0,1,0,0,0
"""Spirit!""",0,0,1,0,0,0
"""Spirit,""",0,0,1,0,0,0
"""Stand",0,0,0,0,0,1
"""Strange",0,0,1,0,0,0
"""Sunday!",0,0,1,0,0,0
"""Tell",0,0,1,0,0,1
"""Thank'ee!""",0,0,1,0,0,0
"""Thank'ee,""",0,0,1,0,0,0
"""Thank'ee.",0,0,1,0,0,0
"""That",0,0,1,0,0,1
"""That's",0,0,1,0,0,0
"""The",0,0,1,0,0,1
"""Then",0,0,0,0,0,1
"""There",0,0,1,0,0,1
"""There's",0,0,1,0,0,0
"""These",0,0,1,0,0,0
"""They",0,0,1,0,0,0
"""They're",0,0,1,0,0,0
"""This",0,0,1,0,0,0
"""Those",0,0,0,0,0,1
"""To",0,0,1,0,0,0
"""To-day!""",0,0,1,0,0,0
"""To-night",0,0,1,0,0,0
"""To-night!""",0,0,1,0,0,0
"""Touch",0,0,1,0,0,0
"""Triumvirs",0,0,0,0,0,1
"""Trojan",0,0,0,0,0,1
"""True,""",0,0,1,0,0,0
"""Uncle!""",0,0,1,0,0,0
"""Under",0,0,1,0,0,0
"""Varus!",0,0,0,0,0,1
"""Very",0,0,1,0,0,0
"""Videant,""",0,0,0,0,0,1
"""Walk-ER!""",0,0,1,0,0,0
"""Was",0,0,1,0,0,0
"""We",0,0,1,0,0,1
"""We'd",0,0,1,0,0,0
"""Well",0,0,1,0,0,0
"""Well!",0,0,1,0,0,0
"""Well!""",0,0,1,0,0,0
"""Well,",0,0,1,0,0,0
"""What",0,0,1,0,0,1
"""What!""",0,0,1,0,0,0
"""What's",0,0,1,0,0,0
"""What,",0,0,1,0,0,0
"""When",0,0,1,0,0,0
"""Where",0,0,1,0,0,0
"""Who",0,0,1,0,0,1
"""Who,",0,0,1,0,0,0
"""Whose",0,0,1,0,0,0
"""Why",0,0,1,0,0,1
"""Why!",0,0,1,0,0,0
"""Why,",0,0,1,0,0,0
"""Why?""",0,0,1,0,0,0
"""Without",0,0,1,0,0,0
"""Woe",0,0,0,0,0,1
"""Would",0,0,1,0,0,0
"""Wouldn't",0,0,1,0,0,0
"""Yes",0,0,1,0,0,0
"""Yes!""",0,0,1,0,0,0
"""Yes,",0,0,1,0,0,0
"""Yes,""",0,0,1,0,0,0
"""Yes.",0,0,1,0,0,0
"""Yes.""",0,0,1,0,0,0
"""Yes;""",0,0,1,0,0,0
"""Yo",0,0,1,0,0,0
"""You",0,0,1,0,0,1
"""You'll",0,0,1,0,0,0
"""You're",0,0,1,0,0,0
"""Young",0,0,0,0,0,1
"""Your",0,0,1,0,0,0
"""a",0,0,1,0,0,0
"""all",0,0,1,0,0,0
"""and",0,0,1,0,0,1
"""answer",0,0,1,0,0,0
"""bade",0,0,0,0,0,1
"""because",0,0,1,0,0,0
